Tower Type,Leg Type,Distance to Center blocketo,distance on the ground,Square Side,square half-diagonal,styliskos,styliskos half-diagonal
S15,-3,6558.061189,6472,1.1,777.817459,0.5,353.553391
S15,"- 3 / +0,70",6709.043831,6623,1.1,777.817459,0.5,353.553391
S15,-2,6773.750678,6687,1.1,777.817459,0.5,353.553391
S15,"- 2 / +0,70",6924.73332,6838,1.1,777.817459,0.5,353.553391
S15,-1,6989.440167,6903,1.1,777.817459,0.5,353.553391
S15,"- 1 / +0,70",7140.422809,7054,1.1,777.817459,0.5,353.553391
S15,N,7205.129655,7119,1.1,777.817459,0.5,353.553391
S15,"N / +0,70",7356.112297,7270,1.1,777.817459,0.5,353.553391
S15,1,7420.819144,7335,1.1,777.817459,0.5,353.553391
S15,"+1 / +0,70",7571.801786,7486,1.1,777.817459,0.5,353.553391
S15,2,7636.508632,7550,1.1,777.817459,0.5,353.553391
S15,"+2 / +0,70",7787.491274,7701,1.1,777.817459,0.5,353.553391
S15,3,7852.198121,7766,1.1,777.817459,0.5,353.553391
S15,"+3 / +0,70",8003.180763,7917,1.1,777.817459,0.5,353.553391
S15,4,8067.887609,7982,1.1,777.817459,0.5,353.553391
S15,"+4 / +0,70",8218.870251,8133,1.1,777.817459,0.5,353.553391
S15+8,-3,7522.080571,7453,1.2,848.528137,0.5,353.553391
S15+8,"- 3 / +0,70",7618.889217,7550,1.2,848.528137,0.5,353.553391
S15+8,-2,7660.378637,7591,1.2,848.528137,0.5,353.553391
S15+8,"- 2 / +0,70",7757.187283,7688,1.2,848.528137,0.5,353.553391
S15+8,-1,7798.676702,7730,1.2,848.528137,0.5,353.553391
S15+8,"- 1 / +0,70",7895.485348,7826,1.2,848.528137,0.5,353.553391
S15+8,N,7936.974768,7868,1.2,848.528137,0.5,353.553391
S15+8,"N / +0,70",8033.783414,7965,1.2,848.528137,0.5,353.553391
S15+8,1,8075.272834,8006,1.2,848.528137,0.5,353.553391
S15+8,"+1 / +0,70",8172.081479,8103,1.2,848.528137,0.5,353.553391
S15+8,2,8213.570899,8144,1.2,848.528137,0.5,353.553391
S15+8,"+2 / +0,70",8310.379545,8241,1.2,848.528137,0.5,353.553391
S15+8,3,8351.868965,8283,1.2,848.528137,0.5,353.553391
S15+8,"+3 / +0,70",8448.677611,8380,1.2,848.528137,0.5,353.553391
S15+8,4,8490.16703,8421,1.2,848.528137,0.5,353.553391
S15+8,"+4 / +0,70",8586.975676,8518,1.2,848.528137,0.5,353.553391
G5,-3,6579.630138,6472,1.2,848.528137,0.5,353.553391
G5,"- 3 / +0,70",6730.61278,6623,1.2,848.528137,0.5,353.553391
G5,-2,6795.319627,6687,1.2,848.528137,0.5,353.553391
G5,"- 2 / +0,70",6946.302269,6838,1.2,848.528137,0.5,353.553391
G5,-1,7011.009115,6903,1.2,848.528137,0.5,353.553391
G5,"- 1 / +0,70",7161.991757,7054,1.2,848.528137,0.5,353.553391
G5,N,7226.698604,7119,1.2,848.528137,0.5,353.553391
G5,"N / +0,70",7377.681246,7270,1.2,848.528137,0.5,353.553391
G5,1,7442.388093,7335,1.2,848.528137,0.5,353.553391
G5,"+1 / +0,70",7593.370735,7486,1.2,848.528137,0.5,353.553391
G5,2,7658.077581,7550,1.2,848.528137,0.5,353.553391
G5,"+2 / +0,70",7809.060223,7701,1.2,848.528137,0.5,353.553391
G5,3,7873.76707,7766,1.2,848.528137,0.5,353.553391
G5,"+3 / +0,70",8024.749712,7917,1.2,848.528137,0.5,353.553391
G5,4,8089.456558,7982,1.2,848.528137,0.5,353.553391
G5,"+4 / +0,70",8240.4392,8133,1.2,848.528137,0.5,353.553391
G5+8,-3,7528.995474,7453,1.25,883.883476,0.5,353.553391
G5+8,"- 3 / +0,70",7625.80412,7550,1.25,883.883476,0.5,353.553391
G5+8,-2,7667.29354,7591,1.25,883.883476,0.5,353.553391
G5+8,"- 2 / +0,70",7764.102186,7688,1.25,883.883476,0.5,353.553391
G5+8,-1,7805.591606,7730,1.25,883.883476,0.5,353.553391
G5+8,"- 1 / +0,70",7902.400252,7826,1.25,883.883476,0.5,353.553391
G5+8,N,7943.889671,7868,1.25,883.883476,0.5,353.553391
G5+8,"N / +0,70",8040.698317,7965,1.25,883.883476,0.5,353.553391
G5+8,1,8082.187737,8006,1.25,883.883476,0.5,353.553391
G5+8,"+1 / +0,70",8178.996383,8103,1.25,883.883476,0.5,353.553391
G5+8,2,8220.485802,8144,1.25,883.883476,0.5,353.553391
G5+8,"+2 / +0,70",8317.294448,8241,1.25,883.883476,0.5,353.553391
G5+8,3,8358.783868,8283,1.25,883.883476,0.5,353.553391
G5+8,"+3 / +0,70",8455.592514,8380,1.25,883.883476,0.5,353.553391
G5+8,4,8497.081934,8421,1.25,883.883476,0.5,353.553391
G5+8,"+4 / +0,70",8593.890579,8518,1.25,883.883476,0.5,353.553391
G5+8,7,8911.97613,8836,1.25,883.883476,0.5,353.553391
R5,-4,7057.962754,6935,1.4,989.949494,0.5,353.553391
R5,"- 4 / +0,70",7214.700963,7092,1.4,989.949494,0.5,353.553391
R5,-3,7281.874481,7159,1.4,989.949494,0.5,353.553391
R5,"- 3 / +0,70",7438.612689,7315,1.4,989.949494,0.5,353.553391
R5,-2,7505.786207,7383,1.4,989.949494,0.5,353.553391
R5,"- 2 / +0,70",7662.524415,7539,1.4,989.949494,0.5,353.553391
R5,-1,7729.697933,7607,1.4,989.949494,0.5,353.553391
R5,"- 1 / +0,70",7886.436141,7763,1.4,989.949494,0.5,353.553391
R5,N,7953.609659,7830,1.4,989.949494,0.5,353.553391
R5,"N / +0,70",8110.347868,7987,1.4,989.949494,0.5,353.553391
R5,1,8177.521386,8054,1.4,989.949494,0.5,353.553391
R5,"+1 / +0,70",8334.259594,8211,1.4,989.949494,0.5,353.553391
R5,2,8401.433112,8278,1.4,989.949494,0.5,353.553391
R5,"+2 / +0,70",8558.17132,8435,1.4,989.949494,0.5,353.553391
R5,3,8625.344838,8502,1.4,989.949494,0.5,353.553391
R5,"+3 / +0,70",8782.083046,8659,1.4,989.949494,0.5,353.553391
R5,4,8849.256564,8726,1.4,989.949494,0.5,353.553391
R5,"+4 / +0,70",9005.994773,8883,1.4,989.949494,0.5,353.553391
R5+8,-4,7700.214656,7616,1.5,1060.660172,0.5,353.553391
R5+8,"- 4 / +0,70",7790.616844,7707,1.5,1060.660172,0.5,353.553391
R5+8,-3,7829.360639,7745,1.5,1060.660172,0.5,353.553391
R5+8,"- 3 / +0,70",7919.762826,7836,1.5,1060.660172,0.5,353.553391
R5+8,-2,7958.506621,7875,1.5,1060.660172,0.5,353.553391
